,token_index,valuations
5007,2931,51.208573344210436
11708,5826,23.005526171548354
15989,7658,34.93431893904898
9729,4934,81.65353900032198
4698,2799,47.02683969799847
8127,4221,51.00846191278754
7600,4009,42.257473132019186
11931,5915,49.01584305074465
11598,5766,51.86863758691652
11779,5853,63.06362647373021
7388,3922,51.87318275954385
8773,4507,76.96367423174968
150,300,54.078371887988055
509,610,39.98668977422392
10181,5147,27.657295930813063
10824,5406,75.43439710336668
16533,7907,75.40122212106348
4692,2791,75.95837005511294
2285,1712,51.44666506538715
7855,4120,50.96566325755401
14863,7124,51.7745636996637
13840,6689,77.09832562284146
15745,7543,49.19484097866916
18905,8933,81.64428951693026
20032,9434,44.56798844814449
769,793,58.62681640155648
3762,2384,64.39297233720453
4689,2790,60.026040053350584
4612,2762,59.62420906986432
20286,9536,43.46871346356755
549,628,41.36619743144928
17893,8498,1061.211031580318
11414,5683,53.69995230582026
4909,2887,123.22336191574914
1181,1110,44.12881470195623
15338,7353,34.239903617448306
3624,2331,42.519358587697866
16801,8014,14.483571195355125
2419,1766,65.69459560123727
17979,8532,95.54416413113466
13685,6638,92.61706542984075
4864,2870,23.209341713283834
17727,8437,94.11252334844858
9442,4820,44.94284588859068
5716,3229,58.80937005488386
505,608,75.21683305063016
2182,1673,61.87092661208669
4221,2580,49.333414913741706
1365,1257,42.68428866877707
11553,5744,46.40709236568415
14716,7052,53.053938877494716
1814,1475,50.32857104357629
6968,3754,56.28416908044386
5637,3199,11.723287119636382
10576,5302,50.527100244664155
9488,4839,49.77685329295599
12158,5998,52.44367174402083
13145,6429,54.35123202395829
14607,7001,46.51695488144651
20661,9708,56.40516549110197
13207,6464,64.99213427277937
18682,8844,67.31519091215506
4281,2612,66.68805652567346
15766,7552,49.963920906884994
17196,8189,39.98904014992735
7518,3972,52.11692498393563
19991,9411,49.0833651786358
12895,6326,61.72346463523235
12480,6126,36.3334917797701
4808,2848,51.19353197887381
13345,6530,52.654957939028805
14751,7071,47.27965216758889
13485,6577,32.236311993934635
10646,5333,42.79464901429276
13962,6726,36.152427247667106
13885,6707,71.44580508290727
5966,3338,57.034684423252486
3555,2300,26.735751522067915
15364,7368,40.14445775611449
11250,5618,55.543537192631845
1280,1189,55.6276279697658
14630,7007,84.30827661923973
20472,9624,68.72967492234756
20493,9638,46.252506219189286
4150,2549,45.592633024155816
278,430,44.902415661785824
11784,5857,54.31206437621836
4173,2558,48.64433367553215
1484,1325,44.57533416343955
10369,5213,52.86381656700166
6942,3741,52.45619384949646
8633,4452,67.68814739311995
12212,6023,39.09212798849023
19602,9233,65.66250139330242
5714,3228,44.52272809922397
12031,5955,37.69781094534915
5261,3027,137.5613561749302
9907,5011,41.22029989453591
9125,4666,41.52868043709236
5235,3011,335.3804089987902
21142,9907,57.32521290856869
3984,2483,28.532279280794796
3564,2307,33.647534956047366
10839,5418,23.02243669684225
19043,8999,42.10049951661426
11885,5893,15.643074398077545
8027,4180,60.63747845474853
10429,5233,28.32475589544697
17089,8150,50.68178389782298
4249,2592,58.28005739781594
16593,7925,59.79172759744682
8171,4234,117.87973269155361
13480,6574,41.64146174891448
7375,3919,55.10780713747829
13323,6518,37.86958344853275
6400,3519,61.6478720324659
7534,3976,25.105218955209466
17592,8379,97.99274463173964
1366,1258,41.00971397066451
7314,3892,29.448101109595427
7395,3924,49.106794494834844
12341,6065,59.57578604316029
11751,5841,115.6089884548673
12845,6301,30.741443202171013
4247,2591,55.55194421216322
2076,1611,73.37849811990571
12728,6258,47.131524080503766
5028,2937,46.93844636495828
2907,1993,65.34268483665562
5258,3023,40.58260652452111
176,338,49.69861685268893
2415,1764,33.00209065066872
4009,2493,60.5273147646821
17789,8457,43.91074419026182
7821,4111,64.67389582570615
3611,2326,52.18954079980284
9781,4955,65.25510331771352
7086,3797,64.5318718502541
14661,7022,80.80314025496682
13747,6658,42.31161261647787
14546,6976,26.7824814669454
54,169,67.82396873710837
1302,1210,32.405109605893074
9874,4994,51.39033211369497
11492,5725,160.12678485138656
3649,2342,42.38018065670167
20341,9557,56.39116401593486
19530,9200,68.34575115442425
10221,5156,28.26535231524673
18893,8929,53.06268049743869
19374,9125,27.917695555619048
5332,3060,93.14186262787194
18019,8549,66.3861224001231
3868,2426,59.6790675055297
3495,2265,55.367270747128714
10914,5454,137.549244258057
3263,2155,50.15601818196785
2205,1682,158.90742062112702
17009,8100,103.9972772563662
17811,8465,53.446371146550064
18994,8974,149.4784423064997
778,797,47.949751260624794
3226,2139,52.56237249246499
9388,4798,54.58076362758038
21005,9853,60.59437561730675
8916,4569,53.003190026646394
16015,7670,70.8310813352154
14173,6817,58.39664154896411
11984,5935,54.58436086240113
20699,9717,35.40619348666337
15454,7415,-19.099956850043156
10359,5209,51.95659187349628
3620,2328,50.482720914872004
7283,3870,49.64211428633121
19762,9310,50.87509180860104
712,745,22.890458365210918
4614,2765,57.19064719120945
3023,2047,48.741882653197194
8919,4572,40.21227118299652
16732,7986,66.20659416374593
3556,2301,150.87071919107336
19879,9361,107.16220582208234
11629,5781,62.48331487815307
8244,4270,49.762280536972185
1552,1362,44.67197994515527
17639,8396,42.329919016558904
12378,6080,71.87006757150789
17571,8374,38.06206129026572
19209,9055,40.346696937264824
12492,6130,61.302252043050885
1263,1182,151.49638911882124
8140,4223,62.84655665943757
1641,1403,54.13148060629646
21082,9881,22.801327639988983
90,241,58.20653850548376
2032,1587,107.2970564693793
4486,2695,56.92324663574226
3094,2084,71.66190022049733
11483,5721,73.05149360875407
18249,8651,53.04763062939065
10948,5461,56.7707080351027
5362,3083,58.51215155297518
17772,8455,37.651157160087564
17702,8430,56.533521093217814
18665,8835,34.62194851609979
10487,5262,59.63591482503159
15084,7239,81.70035178985756
49,161,45.860175606132486
281,431,55.282222862412084
15579,7478,43.71539320121599
19918,9380,54.39605286917356
471,578,57.060822280351374
7784,4096,57.6626914511001
8492,4393,61.55290864308472
10690,5349,59.986865183233135
970,962,63.05355870502672
20520,9654,54.3017006043774
20995,9850,51.73610801962042
4865,2871,40.07290943864149
2916,2002,56.651436492598975
976,973,26.49630509718662
10991,5485,47.82295601199553
2957,2032,42.781276381958094
20734,9731,47.203892816608516
5210,3003,59.62829680532434
6592,3592,73.19800049445604
5372,3088,129.60326929737425
9404,4805,33.31229054975233
3212,2132,660.6415224152977
20644,9697,74.13236878601481
6131,3402,21.302712880271713
13375,6541,63.7793127547983
235,384,56.40411525949037
3133,2105,36.85608363574386
4626,2769,50.08793169728398
16116,7714,66.51149352095928
11735,5834,61.54220889169062
18026,8552,64.59331026811066
1871,1501,45.90478448635372
6371,3508,51.320892792661084
4474,2688,53.91697161165587
15530,7448,45.16228673325594
20652,9705,49.750757932895226
7498,3967,111.44313312381865
16862,8046,48.772548603456016
13166,6443,58.9397483748935
8439,4358,45.97621990163674
16709,7974,53.334317257507905
3213,2134,32.16049155402169
18970,8956,42.319754593194546
6154,3416,90.21305841805668
7629,4023,78.20234315197519
13378,6542,75.22128405592684
4125,2541,58.851715158534034
18727,8871,46.623210364428076
274,423,66.28132174172265
11611,5773,49.01870016147291
20225,9509,55.39165354428735
9092,4650,51.930241543689135
14500,6952,109.00208011732627
17399,8286,70.63881479271117
13162,6442,37.605118189095776
21073,9877,65.59544118173204
11514,5730,48.569650840494205
9138,4679,74.3574832079239
114,260,109.68673003252292
1223,1146,45.500866005833245
19700,9280,1063.86324373059
11174,5580,49.079155495064356
19860,9351,40.93529460198181
18311,8673,42.85618670032659
15367,7370,64.64329827793802
6318,3485,41.25201256772198
16571,7917,62.68593878202188
4161,2554,55.87039170503817
14430,6918,38.71332861289392
10773,5390,74.80271364455848
16152,7731,74.02059665175454
5962,3337,69.49959117171971
4156,2551,-6.265521174812989
15201,7279,51.25992543440839
16270,7798,70.04840631385963
18479,8747,36.54104074227536
4940,2905,32.097495832399204
10619,5323,66.07495767566314
18786,8901,53.127948182351076
19261,9077,34.07313499414602
10115,5108,44.548249651763285
16062,7692,48.11070693155216
1401,1280,35.87458331341708
18373,8702,27.067619902058993
9981,5050,67.5195620188129
8220,4256,37.28784009246141
6102,3387,42.6154962414131
16637,7944,44.03480542782836
9275,4754,54.30661430574463
1590,1379,41.258521154444054
13151,6433,65.7552411126697
820,836,29.374809270886885
21225,9948,56.37803396798091
3211,2131,49.93796443769094
17072,8141,44.97684414665713
10595,5311,52.699627268081485
12251,6036,154.1324074281493
15875,7609,29.096056490299077
9921,5019,31.694965002763922
1006,998,57.03920456963118
3821,2407,13.345234101127744
4983,2920,42.29293435588511
9738,4941,58.44452859832535
5799,3262,42.69405990762516
62,197,37.66583011333131
7316,3894,38.06504593947835
4040,2504,31.204084279251617
17897,8500,45.586352642011605
6576,3586,51.99490644679486
8195,4242,56.50166295351022
14699,7041,28.756328297528
6294,3470,65.07953360650231
9278,4758,35.20524556078476
13780,6671,26.19110832388685
10604,5318,71.49640841707532
14719,7053,44.14619170831372
2929,2011,55.46096346062734
18577,8806,30.7907249688476
2236,1695,21.644083891686307
3266,2156,58.13600132050158
5846,3291,29.13467636701
19079,9007,56.22632981477034
9412,4808,29.601036601990018
15181,7271,65.15056423929093
12097,5972,79.2136512149201
9482,4833,60.71232794766547
17335,8261,55.596494189128634
6845,3696,52.611184317631
6239,3446,42.20101103882757
5367,3084,45.51628302073573
13227,6473,71.91429788080063
4975,2916,66.0107363034208
18830,8917,53.92211223020229
5692,3223,72.93689006914815
1140,1084,54.99398739066589
2131,1636,90.53825554288971
15350,7357,78.75103930559237
617,685,54.63204268239349
6868,3707,62.21105045233577
18670,8837,36.08745248030965
10840,5419,47.65864148061809
9235,4741,72.08962616267388
8424,4342,41.6313318370112
7264,3857,59.157034439130825
3157,2115,46.89022908990046
5457,3132,63.46079286516533
17315,8247,59.324396350294194
8311,4303,48.126439221860835
18730,8873,49.37523938002698
15942,7635,49.52738424649186
12343,6066,58.49701349268571
20849,9778,152.3083426839636
5110,2975,59.63709634026611
7690,4047,130.9854572254984
15624,7499,41.35250104171456
6344,3497,41.53208309237351
15468,7422,48.10357483471614
5400,3102,65.45554572642777
11266,5624,32.4920287691026
2116,1625,55.31968549765662
21321,9987,56.354652929884764
21266,9965,149.7135976181857
8158,4227,51.11010481209257
19835,9341,66.10118590052787
1601,1385,59.51536733792119
3156,2113,58.05554577861619
13653,6629,92.02090447387582
2638,1857,73.80208054289608
5344,3073,102.79900233123504
19179,9043,61.06561771220396
15194,7275,54.047264263677164
2899,1988,75.92650241482391
3302,2180,80.99507949888692
10005,5060,25.84258758098872
2533,1813,51.56712525149976
4988,2921,53.92135292931704
11655,5803,62.67570982351015
20424,9601,68.18916281258026
10739,5371,49.66634916003335
1502,1336,55.08124534616684
18663,8834,33.60168972393353
9192,4711,30.091837407231253
3288,2172,54.07631855408431
11165,5577,1021.4751731000199
1413,1284,59.44458536583113
3276,2161,53.61978210042457
7574,3995,49.36553894785396
984,981,31.456472720347335
8668,4458,45.17333695452544
19764,9312,41.95374971845098
4521,2717,54.53209143907122
4674,2786,32.45152319888291
11531,5734,68.67033557350248
2563,1831,1.2196616251557089
21309,9979,41.585810589543996
986,982,43.224930791062775
5173,2995,28.452349421476015
1726,1437,73.43416899256545
11342,5655,40.746835609033496
6624,3612,38.340027992846956
15278,7321,39.90418973006507
9559,4868,115.7612888542181
20168,9481,64.14872359289512
4859,2867,68.53372166256645
5308,3049,158.11897114751696
11452,5702,57.257320077261625
17667,8409,48.240669856130694
17467,8323,40.723556173757515
7828,4113,43.137104843815564
262,410,51.148236279272965
20948,9836,53.71055974086988
13083,6401,27.270046026194166
4232,2584,68.39638335457573
7769,4089,57.55497908830341
8324,4309,35.849780482400774
9170,4697,63.08932035983486
4650,2776,29.02934479178441
4016,2498,54.55623072758482
613,684,60.102100134010584
15533,7454,42.70418479895238
7808,4106,40.610580200674804
21192,9926,67.11651745335269
210,365,54.16047918240895
14732,7060,77.26092486671564
5604,3190,36.66660673573671
9776,4952,31.98759983505107
20616,9688,52.849582302801764
19908,9375,29.529368688426416
8471,4373,52.66157618448079
7420,3931,50.84461169220464
4965,2914,52.61038318122348
20771,9754,47.71232526970908
14616,7003,48.49930077258733
8168,4233,82.73628175300337
3351,2210,51.491867496981115
20812,9766,54.171864410408546
13540,6594,78.5874765521047
2847,1951,48.56223170133342
11360,5663,48.118799575827666
19396,9141,59.189441393877644
14044,6760,36.318255033003595
11820,5869,45.080439194026326
3699,2354,77.23574490607433
14194,6824,54.74667272843351
16563,7915,45.83600997636813
9161,4691,35.083854668532126
9088,4647,94.91455666814664
18525,8780,471.6782763689023
9228,4734,55.60592341045026
17954,8519,51.24876234957668
6148,3413,61.765058536226945
11060,5527,58.16953512819248
14563,6984,71.70748914017008
8197,4244,46.46344087749992
16086,7706,61.75215990902922
644,703,52.84719816101199
9096,4656,66.0643526558556
8036,4182,40.667015297382704
21257,9958,41.02418102211362
1861,1489,56.19273063410873
18271,8658,96.53343786744938
18687,8847,59.38387281552866
20010,9419,47.23987484453363
9315,4776,30.476702333823255
17819,8469,57.528485211594614
6408,3522,35.27532756390019
9669,4918,58.28157521954989
13608,6620,88.52767631562006
17891,8497,57.37459912240422
7572,3994,65.05422675003263
11997,5940,59.559140682286966
8472,4374,45.372920787965995
6084,3381,36.12530717113566
16644,7946,110.88666814381719
3553,2297,83.23055015678301
13131,6422,36.07984467281722
14537,6974,31.218364484533936
11650,5799,29.248515853707318
14695,7039,42.01267272965072
12133,5988,40.629874880237196
4160,2553,33.74489296844183
10534,5282,97.0273956836927
18533,8781,29.3546435920548
1201,1123,39.77325859212749
3319,2191,52.11279830909086
20856,9781,62.41257768120647
122,280,-80.03675951713603
11685,5812,47.709569032910736
9962,5038,46.97559853114308
21098,9890,41.9231151705614
10621,5324,43.67166727629109
15954,7641,169.01457556085336
19701,9281,61.17428919912544
10093,5098,40.49815926459064
12659,6218,45.760036118533094
20484,9631,66.3596695733786
17065,8134,74.48873691943066
6560,3580,43.18568527016049
5019,2936,63.655041955302465
8459,4367,77.56528336326096
19310,9099,45.47546707585633
13054,6386,65.8103805954596
2521,1804,49.46382898962264
12706,6238,33.30484293625483
4362,2647,52.318341643922054
16572,7918,23.80717770503105
17641,8398,82.10618997703017
13091,6405,48.380378598357765
2284,1711,75.29604278829459
5703,3226,44.161972698567695
9006,4611,-5.8722873129686946
5257,3022,157.1736587965437
17538,8357,13.846444069212566
17863,8485,50.57220429889975
1610,1387,36.60419621027876
10100,5103,58.42451599379626
14964,7172,30.378043523628435
5747,3242,37.66854802270535
917,915,65.06371416780286
16484,7879,50.002855879710296
7934,4150,42.85873626403128
12527,6150,33.462864806136224
20190,9496,42.75574782907961
16613,7936,56.17197721187421
15099,7245,42.807835673270176
8881,4554,40.05487269162916
296,441,48.76212419515383
10046,5075,26.819118977014853
7482,3960,51.977475825131364
16436,7855,38.54557097467767
17508,8339,34.15040134592681
20235,9511,22.639128443609764
9061,4635,44.34637975304355
7780,4093,50.98794725762269
9799,4962,14.763496482429332
18717,8865,127.53801063739911
8607,4445,56.811664684305356
15262,7312,48.1804204606708
4825,2855,67.14764084417953
17090,8151,45.781304777157175
1041,1012,42.77131776475392
16587,7922,64.43901789791283
20048,9439,58.866071173087505
14625,7006,20.677952334582017
21150,9911,71.89152636429588
2025,1585,40.38190299817671
6630,3614,160.84639826989076
7613,4017,39.36829260925066
9666,4916,68.81060755705482
261,407,30.970221565025724
1341,1243,40.81423938655365
14479,6944,53.15345356941401
19233,9065,74.07125702855569
7248,3854,34.64435828825299
17326,8253,72.69596092786281
8745,4489,35.256406935589325
12696,6233,33.55824158828426
3603,2322,38.02147157215211
474,583,59.15043047966333
1056,1029,46.69358707921481
2592,1842,50.56695988752779
18096,8583,36.97006933168382
10087,5094,48.88695958174378
5505,3149,44.51609317245425
7418,3930,84.43017097251175
15894,7619,44.416037688422705
9343,4787,49.809190029751335
10413,5228,59.15733322937257
2211,1683,52.07053862050998
4556,2732,46.62330338236728
20857,9783,-43.22160455371852
17479,8327,29.69505741729637
16000,7666,60.59604655033536
16841,8035,54.64164157097753
17240,8209,55.83191388858893
5227,3009,42.026329513271094
5437,3118,44.40059059481939
12025,5953,49.500468827044244
5623,3193,46.428278055109956
4861,2868,55.804679988245255
17936,8516,46.91444627590073
11797,5861,40.557189229764845
4094,2529,52.97079909079838
21302,9973,40.35968105075824
15542,7459,17.553469865843454
502,607,32.96758702773968
18339,8689,57.077833310143035
17506,8337,69.34195656068266
11425,5686,59.82404227280864
20956,9840,42.68440405299009
9537,4852,34.54646000840148
16139,7728,38.891143478519325
11913,5910,56.757604824002954
20453,9616,54.739572268014115
3151,2111,36.28701585257892
3878,2431,42.9414169410868
9605,4894,56.89270363455023
13353,6533,60.17476368580037
7194,3834,58.60880899997176
16530,7905,48.664613079750325
15498,7435,43.71462781258634
4643,2773,42.48610189876308
7697,4051,58.891031037707876
19544,9207,163.94864955278246
6593,3593,45.77169260618433
4697,2795,58.018494877028104
4554,2730,73.31252860691365
11276,5627,83.99980664657954
16396,7840,55.809048981372314
12511,6138,47.291635388280895
11810,5866,26.888110164575323
16720,7981,24.221184704478333
6497,3558,30.068008447527973
1123,1071,46.04910111916473
15198,7278,65.64323250336929
15379,7378,72.99503741124283
17871,8489,69.85330091058734
943,940,52.70021479129298
11464,5710,74.25018347403358
15169,7268,61.03963101461392
18995,8976,66.57794816623726
11865,5883,62.39664616206272
5029,2938,490.7632605449613
11632,5782,59.945974612457746
20863,9789,49.43044224558105
13232,6478,33.13793229802326
15385,7384,27.989046311378388
18183,8617,68.98381013256409
2838,1944,50.506731097481406
8306,4300,68.57572496905459
2465,1781,43.11669209783105
190,342,63.692535867036156
3335,2200,18.24917409012312
15710,7527,45.72600899099575
7596,4008,122.23389088486795
11030,5514,68.5020982513418
12783,6281,53.94656474301348
12863,6308,154.8307661859651
7544,3981,45.645321764867504
19634,9248,92.80050034393872
19923,9383,36.75769908875208
4809,2849,59.52401063145089
19479,9178,29.58856271759396
16272,7802,54.786163911318
980,974,57.112691533229395
779,799,54.2557336193189
16482,7877,43.11290887672425
10147,5128,43.494395224247114
9733,4940,163.95745683428163
7933,4149,54.296324784735134
16240,7765,54.04925414188483
726,751,45.726913631784726
12001,5942,19.090502731629385
3502,2269,61.40684191563662
12833,6294,60.72563164551468
4616,2766,45.02760130953499
15452,7411,51.207354149105015
20280,9533,54.03037520834488
268,418,72.54771145522034
4881,2876,38.470407545020294
969,960,44.35149345126871
16075,7700,23.320256164482373
18601,8809,40.38547618392221
4664,2781,112.28690939084828
14571,6987,104.29045874353875
3975,2480,43.641166749358035
11554,5745,82.09853341240608
4275,2607,53.27424211131995
3605,2324,64.49295221298178
20422,9599,68.63400227794409
17691,8425,47.218676329064124
7789,4101,66.86582574184257
4798,2842,42.299376872309495
3510,2276,61.34795732106397
19428,9153,31.573162527672082
17908,8507,230.72020874303638
3766,2387,65.49817243150437
17522,8348,3179.1760587802373
11269,5625,33.46611867924719
14452,6928,33.69934937330015
17376,8279,30.71734115201997
8117,4216,52.19572080008305
12887,6323,61.330495490840235
16745,7990,54.95528779561596
4548,2728,36.61869692219415
7772,4090,53.84755948750893
17711,8433,56.93238897821175
3297,2175,58.14689103500939
16594,7926,44.27826034889097
4335,2636,65.39851923209346
825,839,52.61751160903111
19483,9180,62.410668201099156
9894,5004,34.65779012022631
14358,6879,76.92018120141665
14411,6905,53.753981903346926
2383,1752,38.25665233982642
9887,5001,61.178169381789814
6312,3482,44.57325290851139
15912,7626,52.57718868435586
2549,1825,44.08316309716241
40,150,44.38755304336809
8889,4557,47.8077238069169
11053,5522,52.60194497858208
3522,2282,36.72543745162767
17524,8351,38.066265312463486
20,118,56.96951035727352
13975,6730,37.90973496913182
11960,5922,68.14621560508635
1003,994,33.563980167786724
5246,3018,61.527480287456
17112,8157,40.77689236127418
4718,2809,49.224938222613446
10924,5455,69.99501534294984
17752,8448,49.698828516602134
17799,8460,66.98732835153697
7664,4038,56.2642643067511
6682,3632,45.541139055376675
18681,8843,53.37134368936523
1019,1004,48.10539303996552
11418,5684,89.2764667351787
4263,2598,47.15343498187178
5777,3255,39.16205454810995
19905,9374,50.60633265893449
19562,9215,47.770884100399826
10072,5089,67.23069483429884
18106,8586,60.014952909595536
19990,9410,28.307467841782
1864,1492,-57.75233548103478
17686,8423,19.61631843153009
8095,4206,59.541233494540904
21103,9891,55.291621932089924
15206,7281,54.76618556860865
5325,3054,45.53556980422309
4296,2621,55.47054608758992
18157,8605,60.463793214205
17066,8135,40.974294728836526
21014,9856,53.18188671828642
3702,2356,144.65400795087152
8058,4194,38.93170055609761
17042,8122,41.4660864164465
9485,4836,60.96320847603124
16330,7823,48.28717055075026
3602,2321,47.33830130997876
10085,5093,71.52438101684169
13183,6449,48.579451686209154
11197,5590,44.12585933105845
6190,3426,66.92705736215487
20087,9456,39.967444827084705
604,680,53.358230839187854
11637,5787,82.55128099504822
17088,8149,47.103671547555905
6728,3651,159.13655121922125
13740,6655,51.89546065869462
4497,2707,15.943703301914013
19193,9049,109.3911856964441
11980,5933,58.427111625388534
1271,1185,83.63282786606266
9307,4771,52.8789841958386
6501,3560,66.94411707873627
15429,7404,56.28484145802622
17971,8527,105.97216027316239
16815,8020,52.08178772854359
19788,9320,60.18525558390792
10206,5151,49.33658497098355
17206,8192,58.381279213994674
12522,6145,974.0552908941254
4533,2721,94.9120466555147
7483,3961,49.40548982324742
255,402,65.07499351768303
9109,4661,88.15206144784344
10959,5465,38.744970224459394
12694,6230,51.865615227161584
1253,1178,44.8966000090345
15238,7299,81.96219709386082
10661,5339,36.95296099374218
19598,9229,54.91536169699475
10348,5202,46.79985262160784
19685,9270,37.791933824492446
9397,4803,53.95986844086309
1787,1465,43.26159027008458
12715,6248,50.30670851440766
20596,9681,63.52710772952946
11782,5855,56.31889708575824
20502,9645,50.507965507872825
18644,8826,57.192928060671704
12558,6167,39.776108010758264
15969,7647,45.88297529743363
18068,8571,54.450311475505146
11713,5828,53.74437992436799
9087,4646,31.98624278285058
14943,7162,212.86861742971197
9822,4969,49.63441757860795
571,642,67.02995307060007
4436,2673,70.42098674383061
3278,2163,50.75262658790376
2219,1690,49.15736950307962
